tanggal,suhu_rata,kelembapan,curah_hujan,lama_penyinaran,angin,stasiun
20-02-2011,28.3,71.0,2.0,8.0,2.0,96737
21-02-2011,27.9,79.0,0.0,8.0,1.0,96737
22-02-2011,27.7,82.0,4.0,0.0,1.0,96737
23-02-2011,27.9,77.0,0.0,0.0,0.0,96737
24-02-2011,27.8,70.0,0.0,0.0,0.0,96737
25-02-2011,25.8,79.0,0.0,0.0,0.0,96737
26-02-2011,26.0,90.0,6.0,0.0,0.0,96737
27-02-2011,25.0,95.0,12.0,0.0,0.0,96737
28-02-2011,24.3,93.0,18.0,0.0,0.0,96737
01-03-2011,25.6,85.0,20.0,0.0,1.0,96737
03-03-2011,26.0,84.0,4.0,1.0,1.0,96737
04-03-2011,26.6,87.0,6.0,3.2,2.0,96737
05-03-2011,25.2,87.0,20.0,0.0,1.0,96737
06-03-2011,27.0,82.0,2.0,4.5,2.0,96737
07-03-2011,26.4,83.0,1.0,6.5,3.0,96737
08-03-2011,25.8,90.0,2.0,2.5,2.0,96737
09-03-2011,26.5,88.0,2.0,3.9,2.0,96737
10-03-2011,26.8,84.0,11.0,3.2,1.0,96737
11-03-2011,26.4,86.0,2.0,0.3,2.0,96737
12-03-2011,27.4,80.0,0.0,8.0,1.0,96737
13-03-2011,25.7,92.0,0.0,3.5,0.0,96737
14-03-2011,28.0,76.0,38.0,4.3,1.0,96737
16-03-2011,26.6,84.0,19.0,5.5,2.0,96737
17-03-2011,26.5,82.0,0.0,7.0,1.0,96737
18-03-2011,27.1,84.0,9.0,8.0,1.0,96737
19-03-2011,27.5,83.0,17.0,6.4,1.0,96737
21-03-2011,27.0,81.0,0.0,7.0,3.0,96737
22-03-2011,26.7,84.0,0.0,0.0,2.0,96737
23-03-2011,25.5,86.0,22.0,0.5,3.0,96737
24-03-2011,27.5,80.0,1.0,6.8,3.0,96737
26-03-2011,26.8,83.0,0.0,2.6,2.0,96737
27-03-2011,27.1,82.0,0.0,3.3,3.0,96737
28-03-2011,25.7,86.0,5.0,0.0,3.0,96737
29-03-2011,25.7,83.0,6.0,0.3,3.0,96737
30-03-2011,25.7,82.0,7.3,1.4,3.0,96737
31-03-2011,26.1,83.0,10.1,2.8,4.0,96737
01-04-2011,25.8,89.0,20.0,0.0,3.0,96737
02-04-2011,27.6,76.0,2.0,8.0,4.0,96737
03-04-2011,27.1,84.0,0.0,0.4,3.0,96737
04-04-2011,28.2,77.0,43.0,8.0,4.0,96737
06-04-2011,27.4,82.0,0.0,8.0,3.0,96737
07-04-2011,27.5,80.0,0.0,8.0,2.0,96737
08-04-2011,27.2,81.0,0.0,3.2,2.0,96737
09-04-2011,26.0,86.0,6.0,0.0,1.0,96737
10-04-2011,27.3,80.0,9.0,8.0,1.0,96737
11-04-2011,26.2,89.0,0.0,1.0,2.0,96737
12-04-2011,26.4,88.0,1.0,3.0,0.0,96737
13-04-2011,27.2,85.0,0.0,6.8,1.0,96737
14-04-2011,26.7,83.0,0.0,7.8,1.0,96737
15-04-2011,27.7,78.0,0.0,5.3,0.0,96737
16-04-2011,26.2,79.0,0.0,8.0,2.0,96737
18-04-2011,27.0,78.0,0.0,8.0,1.0,96737
19-04-2011,26.8,84.0,0.0,7.8,0.0,96737
22-04-2011,26.9,83.0,0.0,6.2,1.0,96737
24-04-2011,26.7,90.0,0.0,1.6,0.0,96737
25-04-2011,26.8,84.0,2.0,6.8,1.0,96737
26-04-2011,27.0,87.0,1.0,7.2,0.0,96737
27-04-2011,26.7,88.0,15.0,0.0,0.0,96737
28-04-2011,27.3,84.0,8.0,0.0,1.0,96737
29-04-2011,27.2,86.0,0.0,6.0,1.0,96737
01-05-2011,26.8,85.0,19.0,2.8,1.0,96737
02-05-2011,27.9,83.0,0.0,4.0,1.0,96737
04-05-2011,27.2,81.0,1.3,8.0,2.0,96737
06-05-2011,27.1,86.0,28.0,5.2,0.0,96737
07-05-2011,26.4,90.0,1.0,0.0,0.0,96737
08-05-2011,27.7,84.0,4.0,8.0,2.0,96737
09-05-2011,26.4,80.0,0.0,8.0,1.0,96737
10-05-2011,26.9,82.0,0.0,8.0,1.0,96737
11-05-2011,27.8,81.0,0.0,7.6,0.0,96737
12-05-2011,27.9,83.0,0.0,6.5,0.0,96737
13-05-2011,27.9,84.0,0.0,6.2,0.0,96737
15-05-2011,26.3,87.0,6.0,4.3,0.0,96737
16-05-2011,27.2,82.0,4.0,8.0,0.0,96737
17-05-2011,27.4,82.0,0.0,8.0,0.0,96737
18-05-2011,27.0,85.0,0.0,4.1,1.0,96737
19-05-2011,27.5,83.0,0.0,8.0,1.0,96737
20-05-2011,26.6,88.0,0.0,7.0,1.0,96737
21-05-2011,26.0,89.0,8.0,2.0,0.0,96737
24-05-2011,27.2,86.0,9.0,0.2,0.0,96737
26-05-2011,26.6,89.0,5.0,0.6,0.0,96737
28-05-2011,27.6,84.0,0.0,7.0,0.0,96737
29-05-2011,27.7,80.0,0.0,3.0,2.0,96737
30-05-2011,29.7,83.0,0.0,3.0,1.0,96737
31-05-2011,27.4,83.0,0.0,0.0,0.0,96737
01-06-2011,27.7,83.0,0.0,6.0,1.0,96737
02-06-2011,27.5,86.0,4.0,6.0,1.0,96737
03-06-2011,27.8,83.0,0.0,4.1,1.0,96737
04-06-2011,28.1,81.0,0.0,0.7,2.0,96737
05-06-2011,27.4,84.0,0.0,6.5,2.0,96737
06-06-2011,27.7,82.0,0.0,4.0,0.0,96737
07-06-2011,27.2,85.0,0.0,2.3,0.0,96737
08-06-2011,27.0,81.0,8.0,8.0,1.0,96737
09-06-2011,26.5,80.0,0.0,4.8,1.0,96737
10-06-2011,26.9,80.0,0.0,6.6,1.0,96737
